Time (s),Breath Rate Signal
0.0,-1.625
1.0,6.4375
2.0,16.34375
3.0,15.484375
4.0,19.53125
5.0,18.296875
6.0,-15.203125
7.0,-42.125
8.0,-40.71875
9.0,-44.109375
10.0,-46.265625
11.0,-22.125
12.0,-30.15625
13.0,-114.5
14.0,-137.15625
15.0,-115.46875
16.0,-35.265625
17.0,-9.546875
18.0,-22.0625
19.0,-45.15625
20.0,-63.65625
21.0,-37.53125
22.0,-38.921875
23.0,-24.65625
24.0,-14.515625
25.0,-20.3125
26.0,-36.09375
27.0,-29.6875
28.0,-35.328125
29.0,-51.234375
30.0,-27.296875
31.0,-50.328125
32.0,-28.265625
33.0,-44.703125
34.0,-16.34375
35.0,-14.8125
36.0,-19.046875
37.0,-43.03125
38.0,-26.453125
39.0,-40.734375
40.0,-25.296875
41.0,-9.109375
42.0,-27.5
43.0,-7.90625
44.0,-8.65625
45.0,-15.0
46.0,-25.625
47.0,-18.578125
48.0,-20.484375
49.0,-37.109375
50.0,-22.84375
51.0,-35.734375
52.0,-48.625
53.0,-43.9375
54.0,-41.59375
55.0,-35.40625
56.0,-50.125
57.0,-51.03125
58.0,-37.90625
59.0,-46.15625
60.0,-33.921875
61.0,-51.109375
62.0,-46.171875
63.0,-47.578125
64.0,-49.421875
65.0,-42.1875
66.0,-49.921875
67.0,-25.953125
68.0,-64.265625
69.0,-40.90625
70.0,-54.609375
71.0,-56.90625
72.0,-45.953125
73.0,-55.046875
74.0,-52.75
75.0,-55.828125
76.0,-65.71875
77.0,-51.453125
78.0,-37.25
79.0,-50.453125
80.0,-62.046875
81.0,-46.203125
82.0,-55.34375
83.0,-68.046875
84.0,-39.359375
85.0,-42.203125
86.0,-51.5
87.0,-44.9375
88.0,-55.484375
89.0,-60.3125
90.0,-59.84375
91.0,-53.90625
92.0,-55.015625
93.0,-48.203125
94.0,-61.015625
95.0,-59.84375
96.0,-57.5625
97.0,-63.15625
98.0,-54.40625
99.0,-39.234375
100.0,-55.65625
101.0,-65.890625
102.0,-50.875
103.0,-53.203125
104.0,-54.609375
105.0,-54.3125
106.0,-44.9375
107.0,-55.34375
108.0,-61.671875
109.0,-63.203125
110.0,-43.484375
111.0,-50.1875
112.0,-43.328125
113.0,-53.546875
114.0,-51.75
115.0,-42.34375
116.0,-23.265625
117.0,-31.21875
118.0,-56.4375
119.0,-65.09375
120.0,-45.0625
121.0,-49.890625
122.0,-41.15625
123.0,-49.9375
124.0,-55.296875
125.0,-50.640625
126.0,-41.296875
127.0,-40.8125
128.0,-37.734375
129.0,-35.84375
130.0,-26.3125
131.0,-32.515625
132.0,-27.765625
133.0,-30.296875
134.0,-46.109375
135.0,-13.34375
136.0,-23.375
137.0,-10.6875
138.0,-6.75
139.0,-38.0625
140.0,-29.59375
141.0,-39.96875
142.0,-16.125
143.0,-13.484375
144.0,-17.9375
145.0,-20.515625
146.0,-32.828125
147.0,-33.125
148.0,-47.015625
149.0,-48.15625
150.0,-44.28125
151.0,-45.59375
152.0,-49.921875
153.0,-52.046875
154.0,-47.875
155.0,-35.859375
156.0,-43.84375
157.0,-44.21875
158.0,-37.296875
159.0,-32.640625
160.0,-56.09375
161.0,-52.90625
162.0,-30.703125
163.0,-40.015625
164.0,-44.28125
165.0,-34.5625
166.0,-36.4375
167.0,-47.34375
168.0,-47.046875
169.0,-46.46875
170.0,-37.140625
171.0,-30.4375
172.0,-44.765625
173.0,-42.65625
174.0,-42.578125
175.0,-38.203125
176.0,-45.859375
177.0,-44.453125
178.0,-44.640625
179.0,-23.375
180.0,-42.5625
181.0,-46.546875
182.0,-38.859375
183.0,-32.34375
184.0,-43.40625
185.0,-42.46875
186.0,-43.625
187.0,-33.484375
188.0,-31.0625
189.0,-48.203125
190.0,-38.609375
191.0,-37.09375
192.0,-33.546875
193.0,-43.578125
194.0,-44.140625
195.0,-37.8125
196.0,-30.65625
197.0,-29.875
198.0,-42.8125
199.0,-36.765625
200.0,-34.75
201.0,-25.078125
202.0,-38.859375
203.0,-38.296875
204.0,-33.5
205.0,-24.921875
206.0,-33.609375
207.0,-44.625
208.0,-29.015625
209.0,-39.59375
210.0,-29.5
211.0,-46.328125
212.0,-36.109375
213.0,-19.046875
214.0,-37.6875
215.0,-39.078125
216.0,-4.40625
217.0,-62.390625
218.0,-34.953125
219.0,-20.171875
220.0,-29.453125
221.0,-56.515625
222.0,-48.9375
223.0,-44.625
224.0,-38.375
225.0,-43.015625
226.0,-54.421875
227.0,-49.890625
228.0,-39.28125
229.0,-32.5
230.0,-44.671875
231.0,-44.21875
232.0,-42.53125
233.0,-29.171875
234.0,-46.234375
235.0,-45.578125
236.0,-42.0625
237.0,-29.890625
238.0,-52.296875
239.0,-43.609375
240.0,-41.65625
241.0,-37.828125
242.0,-56.015625
243.0,-50.515625
244.0,-43.234375
245.0,-28.46875
246.0,-47.375
247.0,-44.359375
248.0,-48.1875
249.0,-37.625
250.0,-50.890625
251.0,-43.0625
252.0,-44.359375
253.0,-28.296875
254.0,-44.09375
255.0,-38.328125
256.0,-39.390625
257.0,-33.671875
258.0,-50.8125
259.0,-47.640625
260.0,-41.765625
261.0,-24.015625
262.0,-45.4375
263.0,-49.890625
264.0,-29.109375
265.0,-39.9375
266.0,-28.984375
267.0,-48.0
268.0,-36.546875
269.0,-31.625
270.0,-35.4375
271.0,-42.96875
272.0,-39.109375
273.0,-34.359375
274.0,-22.421875
275.0,-22.265625
276.0,-21.03125
277.0,-10.03125
278.0,-36.640625
279.0,-39.53125
280.0,-16.546875
281.0,-40.328125
282.0,-20.453125
283.0,-9.4375
284.0,-32.359375
285.0,-39.734375
286.0,-27.5
287.0,-25.1875
288.0,-26.0
289.0,17.0625
290.0,-28.71875
291.0,-9.015625
292.0,-25.21875
293.0,-30.40625
294.0,10.078125
295.0,16.296875
296.0,12.984375
297.0,14.171875
298.0,9.59375
299.0,-0.015625
300.0,15.6875
301.0,1.734375
302.0,12.625
303.0,-5.59375
304.0,3.25
305.0,-41.359375
306.0,-34.75
307.0,-39.09375
308.0,-27.359375
309.0,-25.1875
310.0,-48.921875
311.0,-49.78125
312.0,-42.671875
313.0,-32.6875
314.0,-30.703125
315.0,-16.984375
316.0,-24.171875
317.0,-30.0
318.0,-40.0
319.0,-79.703125
320.0,-39.828125
321.0,-57.15625
322.0,-45.28125
323.0,-44.046875
324.0,-37.390625
325.0,-46.390625
326.0,-44.296875
327.0,-33.609375
328.0,-51.515625
329.0,-43.765625
330.0,-17.9375
331.0,-25.78125
332.0,-28.34375
333.0,-22.125
334.0,-6.296875
335.0,-37.875
336.0,-25.09375
337.0,-36.0625
338.0,-39.625
339.0,-40.484375
340.0,-32.984375
341.0,-42.625
342.0,-44.84375
343.0,-40.359375
344.0,-28.96875
345.0,-36.828125
346.0,-25.375
347.0,-23.203125
348.0,-33.1875
349.0,-31.765625
350.0,-20.703125
351.0,-30.375
352.0,-39.328125
353.0,-78.3125
354.0,-89.5625
355.0,-56.984375
356.0,-49.734375
357.0,-33.421875
358.0,-19.578125
359.0,-16.53125
360.0,-19.671875
361.0,-5.546875
362.0,-4.5625
363.0,-31.453125
364.0,-36.03125
365.0,-26.796875
366.0,-15.5
367.0,-29.0625
368.0,-31.9375
369.0,-9.5625
370.0,-1.59375
371.0,-29.640625
372.0,-89.265625
373.0,-86.9375
374.0,-72.828125
375.0,-95.59375
376.0,-76.46875
377.0,-92.984375
378.0,-90.296875
379.0,-76.671875
380.0,-91.78125
381.0,-64.03125
382.0,-73.609375
383.0,-67.046875
384.0,-73.25
385.0,-86.515625
386.0,-75.109375
387.0,-86.265625
388.0,-69.34375
389.0,-73.0
390.0,-32.171875
391.0,-66.546875
392.0,-89.015625
393.0,-60.84375
394.0,-77.625
395.0,-80.578125
396.0,-76.390625
397.0,-88.546875
398.0,-91.40625
399.0,-61.6875
400.0,-63.390625
401.0,-70.890625
402.0,-79.796875
403.0,-87.875
404.0,-61.8125
405.0,-75.453125
406.0,-82.484375
407.0,-88.53125
408.0,-83.671875
409.0,-76.515625
410.0,-78.578125
411.0,-38.78125
412.0,-41.421875
413.0,-26.375
414.0,-24.390625
415.0,-41.796875
416.0,-30.859375
417.0,-38.578125
418.0,-45.328125
419.0,-42.359375
420.0,-24.390625
421.0,-43.171875
422.0,-44.375
423.0,-33.53125
424.0,-41.640625
425.0,-25.5625
426.0,-47.8125
427.0,-46.328125
428.0,-33.796875
429.0,-16.0
430.0,-40.9375
431.0,-38.40625
432.0,-46.90625
433.0,-33.390625
434.0,-43.65625
435.0,-49.375
436.0,-23.5
437.0,-48.75
438.0,-39.28125
439.0,-39.03125
440.0,5.09375
441.0,-39.453125
442.0,-30.46875
443.0,-49.578125
444.0,-47.21875
445.0,-25.3125
446.0,-38.140625
447.0,-46.640625
448.0,-29.671875
449.0,-34.5
450.0,-33.0
451.0,-39.25
452.0,-7.875
453.0,-43.703125
454.0,-37.078125
455.0,-43.03125
456.0,-13.546875
457.0,-8.21875
458.0,-18.265625
459.0,-35.171875
460.0,-20.625
461.0,-32.296875
462.0,-32.796875
463.0,-43.859375
464.0,-48.71875
465.0,-27.46875
466.0,-44.1875
467.0,-12.3125
468.0,-25.90625
469.0,-32.890625
470.0,-26.21875
471.0,-27.578125
472.0,-34.578125
473.0,-34.203125
474.0,-15.53125
475.0,-42.375
476.0,-22.265625
477.0,-24.25
478.0,-20.296875
479.0,-43.125
480.0,-17.015625
481.0,-24.6875
482.0,-38.53125
483.0,-20.21875
484.0,-39.8125
485.0,-23.859375
486.0,-35.203125
487.0,-30.15625
488.0,-42.5
489.0,-24.265625
490.0,-26.5625
491.0,-29.53125
492.0,-19.8125
493.0,-34.3125
494.0,-15.203125
495.0,-57.4375
496.0,10.203125
497.0,-26.671875
498.0,-15.734375
499.0,-10.765625
500.0,-12.484375
501.0,-33.6875
502.0,-27.859375
503.0,-21.0625
504.0,-28.578125
505.0,-33.53125
506.0,-29.75
507.0,-26.046875
508.0,-27.859375
509.0,-30.125
510.0,-36.859375
511.0,-45.3125
512.0,-52.328125
513.0,-42.75
514.0,-25.5
515.0,-33.78125
516.0,-42.796875
517.0,-37.90625
518.0,-19.671875
519.0,-35.828125
520.0,-31.46875
521.0,-37.375
522.0,-29.59375
523.0,-28.40625
524.0,-30.578125
525.0,-34.203125
526.0,-31.390625
527.0,-16.984375
528.0,-25.34375
529.0,-33.640625
530.0,-29.578125
531.0,-27.53125
532.0,-21.859375
533.0,-33.515625
534.0,-35.765625
535.0,-26.984375
536.0,-17.78125
537.0,-9.953125
538.0,-36.71875
539.0,-18.375
540.0,-28.15625
541.0,-15.875
542.0,-34.0
543.0,-33.265625
544.0,-37.015625
545.0,-22.53125
546.0,-14.0
547.0,-24.109375
548.0,-13.640625
549.0,-26.71875
550.0,-39.109375
551.0,-20.3125
552.0,-4.390625
553.0,-11.265625
554.0,-9.0625
555.0,-20.40625
556.0,-21.078125
557.0,-17.0
558.0,-0.390625
559.0,16.109375
560.0,20.875
561.0,28.1875
562.0,5.875
563.0,4.5625
564.0,4.1875
565.0,0.0625
566.0,12.078125
567.0,21.015625
568.0,7.375
569.0,10.921875
570.0,9.609375
571.0,-20.671875
572.0,-8.140625
573.0,-17.859375
574.0,-11.109375
575.0,-10.96875
576.0,-32.796875
577.0,-19.109375
578.0,-36.234375
579.0,-23.203125
580.0,-29.828125
581.0,-9.15625
582.0,-18.65625
583.0,-19.140625
584.0,-27.28125
585.0,-11.4375
586.0,-35.59375
587.0,-35.84375
588.0,-30.21875
589.0,-35.59375
590.0,-27.9375
591.0,-15.390625
592.0,-34.90625
593.0,-37.09375
594.0,-29.734375
595.0,-22.6875
596.0,-16.421875
597.0,-75.65625
