Time (s),Y Acceleration
0.0,-102.421875
1.0,-117.546875
2.0,-116.265625
3.0,-121.859375
4.0,-127.140625
5.0,-126.34375
6.0,-111.125
7.0,-85.375
8.0,-79.765625
9.0,-77.328125
10.0,-144.15625
11.0,-236.84375
12.0,-283.90625
13.0,-233.703125
14.0,-215.90625
15.0,-211.484375
16.0,-251.203125
17.0,-249.171875
18.0,-257.0625
19.0,-241.796875
20.0,-240.296875
21.0,-244.765625
22.0,-254.09375
23.0,-245.40625
24.0,-251.390625
25.0,-248.09375
26.0,-243.703125
27.0,-245.640625
28.0,-250.875
29.0,-250.40625
30.0,-233.765625
31.0,-253.421875
32.0,-243.21875
33.0,-246.21875
34.0,-243.75
35.0,-248.828125
36.0,-246.5625
37.0,-244.78125
38.0,-253.953125
39.0,-252.46875
40.0,-263.125
41.0,-251.296875
42.0,-263.421875
43.0,-247.1875
44.0,-254.78125
45.0,-247.484375
46.0,-262.984375
47.0,-255.46875
48.0,-244.40625
49.0,-254.4375
50.0,-252.015625
51.0,-240.546875
52.0,-249.46875
53.0,-255.578125
54.0,-244.890625
55.0,-242.40625
56.0,-242.015625
57.0,-245.546875
58.0,-254.921875
59.0,-246.140625
60.0,-237.984375
61.0,-243.3125
62.0,-255.9375
63.0,-253.015625
64.0,-243.3125
65.0,-229.84375
66.0,-241.578125
67.0,-250.671875
68.0,-231.265625
69.0,-252.25
70.0,-258.546875
71.0,-240.328125
72.0,-236.171875
73.0,-240.625
74.0,-241.546875
75.0,-247.390625
76.0,-250.359375
77.0,-240.796875
78.0,-236.453125
79.0,-236.171875
80.0,-245.828125
81.0,-253.546875
82.0,-231.59375
83.0,-240.109375
84.0,-254.09375
85.0,-249.125
86.0,-240.015625
87.0,-234.359375
88.0,-235.34375
89.0,-237.4375
90.0,-246.703125
91.0,-237.609375
92.0,-237.96875
93.0,-235.390625
94.0,-236.65625
95.0,-233.875
96.0,-248.1875
97.0,-248.40625
98.0,-240.234375
99.0,-236.625
100.0,-239.296875
101.0,-233.484375
102.0,-240.46875
103.0,-247.828125
104.0,-244.453125
105.0,-238.375
106.0,-235.015625
107.0,-233.21875
108.0,-245.34375
109.0,-247.1875
110.0,-244.8125
111.0,-241.59375
112.0,-235.859375
113.0,-230.1875
114.0,-242.15625
115.0,-254.734375
116.0,-243.421875
117.0,-232.953125
118.0,-243.171875
119.0,-240.015625
120.0,-244.953125
121.0,-238.671875
122.0,-238.25
123.0,-230.953125
