Time (s),Breath Rate Signal
0.0,-244.203125
1.0,-239.859375
2.0,-241.171875
3.0,-238.40625
4.0,-234.8125
5.0,-235.484375
6.0,-240.546875
7.0,-247.703125
8.0,-249.59375
9.0,-248.390625
10.0,-226.34375
11.0,-40.109375
12.0,9.53125
13.0,-38.1875
14.0,-56.203125
15.0,-66.4375
16.0,-82.953125
17.0,-88.765625
18.0,-63.9375
19.0,-96.5625
20.0,-85.21875
21.0,-84.625
22.0,-83.703125
23.0,-97.046875
24.0,-89.984375
25.0,-101.171875
26.0,-91.34375
27.0,-95.484375
28.0,-94.296875
29.0,-51.4375
30.0,-115.328125
31.0,-77.71875
32.0,-102.875
33.0,-88.21875
34.0,-94.65625
35.0,-107.828125
36.0,-101.296875
37.0,-76.15625
38.0,-61.734375
39.0,-61.578125
40.0,-67.703125
41.0,-59.0
42.0,-72.546875
43.0,-91.625
44.0,-79.71875
45.0,-71.6875
46.0,-74.78125
47.0,-78.3125
48.0,-80.609375
49.0,-86.71875
50.0,-82.09375
51.0,-88.8125
52.0,-87.6875
53.0,-81.046875
54.0,-89.765625
55.0,-86.6875
56.0,-90.625
57.0,-92.46875
58.0,-100.015625
59.0,-90.796875
60.0,-88.65625
61.0,-89.21875
62.0,-92.703125
63.0,-87.078125
64.0,-96.671875
65.0,-85.9375
66.0,-97.53125
67.0,-98.859375
68.0,-88.171875
69.0,-91.046875
70.0,-94.328125
71.0,-87.53125
72.0,-86.0625
73.0,-89.609375
74.0,-99.890625
75.0,-96.984375
76.0,-105.1875
77.0,-90.5625
78.0,-94.375
79.0,-98.546875
80.0,-99.265625
81.0,-98.09375
82.0,-86.359375
83.0,-87.421875
84.0,-89.40625
85.0,-89.609375
86.0,-91.40625
87.0,-89.796875
88.0,-103.421875
89.0,-105.1875
90.0,-100.4375
91.0,-103.5
92.0,-104.671875
93.0,-94.828125
94.0,-100.515625
95.0,-91.609375
96.0,-104.015625
97.0,-100.203125
98.0,-101.171875
99.0,-91.453125
100.0,-101.15625
101.0,-93.75
102.0,-106.6875
103.0,-98.203125
104.0,-102.34375
105.0,-93.96875
106.0,-95.90625
107.0,-93.0625
108.0,-101.671875
109.0,-97.59375
110.0,-94.0
111.0,-101.015625
112.0,-95.34375
113.0,-88.375
114.0,-91.578125
115.0,-119.296875
116.0,-95.984375
117.0,-88.953125
118.0,-93.984375
119.0,-101.15625
120.0,-103.203125
121.0,-93.65625
122.0,-95.671875
123.0,-101.15625
124.0,-96.390625
125.0,-108.78125
126.0,-106.703125
127.0,-99.328125
128.0,-96.328125
129.0,-91.484375
130.0,-84.421875
131.0,-88.359375
132.0,-89.265625
133.0,-83.421875
134.0,-90.359375
