Time_s,Ch1
0,0
0.0078125,0
0.015625,0
0.0234375,0
0.03125,0.2661133
0.0390625,0.4723511
0.046875,0.4728088
0.0546875,0.4730225
0.0625,0.4731445
0.0703125,0.4732361
0.078125,0.4732971
0.0859375,0.4732971
0.09375,0.4733276
0.1015625,0.4733582
0.109375,0.4733887
0.1171875,0.4733887
0.125,0.4734497
0.1328125,0.4734497
0.140625,0.4734802
0.1484375,0.4735107
0.15625,0.4735107
0.1640625,0.4735107
0.171875,0.4735107
0.1796875,0.4735107
0.1875,0.4735107
0.1953125,0.4735413
0.203125,0.4735413
0.2109375,0.4735413
0.21875,0.4735718
0.2265625,0.4735718
0.234375,0.4736023
0.2421875,0.4736328
0.25,0.4736328
0.2578125,0.4736328
0.265625,0.4736328
0.2734375,0.4736633
0.28125,0.4736633
0.2890625,0.4736328
0.296875,0.4736328
0.3046875,0.4736328
0.3125,0.4736328
0.3203125,0.4736328
0.328125,0.4736023
0.3359375,0.4736023
0.34375,0.4736023
0.3515625,0.4736023
0.359375,0.4736023
0.3671875,0.4736023
0.375,0.4735718
0.3828125,0.4735718
0.390625,0.4735413
0.3984375,0.4735107
0.40625,0.4734802
0.4140625,0.4734802
0.421875,0.4734802
0.4296875,0.4734802
0.4375,0.4735107
0.4453125,0.4735107
0.453125,0.4735413
0.4609375,0.4735718
0.46875,0.4736023
0.4765625,0.4736023
0.484375,0.4736328
0.4921875,0.4736633
0.5,0.4736633
0.5078125,0.4736938
0.515625,0.4736938
0.5234375,0.4736938
0.53125,0.4736633
0.5390625,0.4736328
0.546875,0.4736023
0.5546875,0.4735718
0.5625,0.4735718
0.5703125,0.4735718
0.578125,0.4736023
0.5859375,0.4736328
0.59375,0.4736938
0.6015625,0.4737244
0.609375,0.4737244
0.6171875,0.4736938
0.625,0.4736023
0.6328125,0.4734802
0.640625,0.4733276
0.6484375,0.4732056
0.65625,0.4730835
0.6640625,0.4729614
0.671875,0.4729614
0.6796875,0.4729614
0.6875,0.4728699
0.6953125,0.4728088
0.703125,0.4727173
0.7109375,0.4726562
0.71875,0.4726562
0.7265625,0.4726562
0.734375,0.4726562
0.7421875,0.4726562
0.75,0.4726562
0.7578125,0.4726868
0.765625,0.4726868
0.7734375,0.4727478
0.78125,0.4727478
0.7890625,0.4728088
0.796875,0.4728088
0.8046875,0.4728394
0.8125,0.4728394
0.8203125,0.4728394
0.828125,0.4727783
0.8359375,0.4727478
0.84375,0.4727478
0.8515625,0.4727478
0.859375,0.4727478
0.8671875,0.4727173
0.875,0.4726868
0.8828125,0.4726868
0.890625,0.4726868
0.8984375,0.4727173
0.90625,0.4727478
0.9140625,0.4727783
0.921875,0.4728088
0.9296875,0.4728088
0.9375,0.4728699
0.9453125,0.4729004
0.953125,0.4729004
0.9609375,0.4729004
0.96875,0.4729309
0.9765625,0.4729309
0.984375,0.4729309
0.9921875,0.4729309
1,0.4729309
1.007812,0.4729309
1.015625,0.4729309
1.023438,0.4729614
1.03125,0.4729614
1.039062,0.4729614
1.046875,0.4729614
1.054688,0.4729919
1.0625,0.4729919
1.070312,0.4730225
1.078125,0.4730835
1.085938,0.473175
1.09375,0.4732056
1.101562,0.4732056
1.109375,0.4732361
1.117188,0.4732361
1.125,0.473175
1.132812,0.4730835
1.140625,0.4729919
1.148438,0.4729004
1.15625,0.4729004
1.164062,0.4728699
1.171875,0.4729004
1.179688,0.4729004
1.1875,0.4729309
1.195312,0.4730225
1.203125,0.473053
1.210938,0.4730835
1.21875,0.473114
1.226562,0.4731445
1.234375,0.4731445
1.242188,0.473175
1.25,0.473175
1.257812,0.473175
1.265625,0.473175
1.273438,0.473175
1.28125,0.473175
1.289062,0.473175
1.296875,0.473175
1.304688,0.473175
1.3125,0.473175
1.320312,0.473175
1.328125,0.4732056
1.335938,0.4732056
1.34375,0.4732361
1.351562,0.4732666
1.359375,0.4732666
1.367188,0.4732971
1.375,0.4732971
1.382812,0.4732971
1.390625,0.4732971
1.398438,0.4732971
1.40625,0.4732971
1.414062,0.4732971
1.421875,0.4732971
1.429688,0.4732971
1.4375,0.4732971
1.445312,0.4732971
1.453125,0.4732971
1.460938,0.4732971
1.46875,0.4732971
1.476562,0.4732666
1.484375,0.4732666
1.492188,0.4732666
1.5,0.4732666
1.507812,0.4732666
1.515625,0.4732666
1.523438,0.4732971
1.53125,0.4732971
1.539062,0.4732971
1.546875,0.4732971
1.554688,0.4732971
1.5625,0.4732666
1.570312,0.4732666
1.578125,0.4732666
1.585938,0.4732666
1.59375,0.4732666
1.601562,0.4732971
1.609375,0.4732971
1.617188,0.4732971
1.625,0.4732971
1.632812,0.4732971
1.640625,0.4732971
1.648438,0.4732971
1.65625,0.4732971
1.664062,0.4732971
1.671875,0.4732666
1.679688,0.4732666
1.6875,0.4732361
1.695312,0.4732056
1.703125,0.4732056
1.710938,0.4732056
1.71875,0.4732056
1.726562,0.4732056
1.734375,0.4732361
1.742188,0.4732666
1.75,0.4732971
1.757812,0.4732971
1.765625,0.4733276
1.773438,0.4733276
1.78125,0.4733276
1.789062,0.4733276
1.796875,0.4733276
1.804688,0.4733276
1.8125,0.4733276
1.820312,0.4732971
1.828125,0.4732666
1.835938,0.4732361
1.84375,0.4732361
1.851562,0.4732361
1.859375,0.4732056
1.867188,0.4732056
1.875,0.4732056
1.882812,0.4732056
1.890625,0.4732056
1.898438,0.4732056
1.90625,0.4732056
1.914062,0.4732056
1.921875,0.4732056
1.929688,0.473175
1.9375,0.473175
1.945312,0.4731445
1.953125,0.4731445
1.960938,0.473114
1.96875,0.473114
1.976562,0.4730835
1.984375,0.4730835
1.992188,0.4730835
2,0.4730835
2.007812,0.473053
2.015625,0.473053
2.023438,0.473053
2.03125,0.4730225
2.039062,0.4730225
2.046875,0.4729919
2.054688,0.4729919
2.0625,0.4729309
2.070312,0.4729309
2.078125,0.4729004
2.085938,0.4729004
2.09375,0.4728699
2.101562,0.4728699
2.109375,0.4728394
2.117188,0.4728394
2.125,0.4728088
2.132812,0.4728088
2.140625,0.4727783
2.148438,0.4727783
2.15625,0.4727783
2.164062,0.4727783
2.171875,0.4727783
2.179688,0.4727478
2.1875,0.4727478
2.195312,0.4727173
2.203125,0.4726868
2.210938,0.4726868
2.21875,0.4726562
2.226562,0.4726562
2.234375,0.4726562
2.242188,0.4726562
2.25,0.4726562
2.257812,0.4726257
2.265625,0.4726257
2.273438,0.4726257
2.28125,0.4726257
2.289062,0.4726562
2.296875,0.4726562
2.304688,0.4726562
2.3125,0.4726562
2.320312,0.4726562
2.328125,0.4726562
2.335938,0.4726562
2.34375,0.4726562
2.351562,0.4726562
2.359375,0.4726562
2.367188,0.4726562
2.375,0.4726562
2.382812,0.4726868
2.390625,0.4726868
2.398438,0.4726868
2.40625,0.4726868
2.414062,0.4726868
2.421875,0.4726868
2.429688,0.4726562
2.4375,0.4726257
2.445312,0.4726257
2.453125,0.4726257
2.460938,0.4726257
2.46875,0.4726257
2.476562,0.4725952
2.484375,0.4725952
2.492188,0.4725952
2.5,0.4725647
2.507812,0.4725647
2.515625,0.4725647
2.523438,0.4725342
2.53125,0.4725342
2.539062,0.4724731
2.546875,0.4724426
2.554688,0.4724121
2.5625,0.4723816
2.570312,0.4723511
2.578125,0.4723206
2.585938,0.4723206
2.59375,0.4723206
2.601562,0.4723206
2.609375,0.4723206
2.617188,0.4723206
2.625,0.4723206
2.632812,0.4723206
2.640625,0.4723206
2.648438,0.4723206
2.65625,0.4723206
2.664062,0.4723206
2.671875,0.4723511
2.679688,0.4723511
2.6875,0.4723816
2.695312,0.4723816
2.703125,0.4723816
2.710938,0.4723816
2.71875,0.4723816
2.726562,0.4723816
2.734375,0.4724121
2.742188,0.4724121
2.75,0.4724121
2.757812,0.4724121
2.765625,0.4724121
2.773438,0.4724121
2.78125,0.4724121
2.789062,0.4724121
2.796875,0.4724121
2.804688,0.4724426
2.8125,0.4724426
2.820312,0.4724426
2.828125,0.4724426
2.835938,0.4724426
2.84375,0.4724426
2.851562,0.4724426
2.859375,0.4724426
2.867188,0.4724731
2.875,0.4724426
2.882812,0.4724426
2.890625,0.4724426
2.898438,0.4724426
2.90625,0.4724426
2.914062,0.4724121
2.921875,0.4724121
2.929688,0.4724121
2.9375,0.4724121
2.945312,0.4724121
2.953125,0.4724121
2.960938,0.4724121
2.96875,0.4724426
2.976562,0.4724426
2.984375,0.4724426
2.992188,0.4724731
3,0.4724731
3.007812,0.4725037
3.015625,0.4725037
3.023438,0.4725342
3.03125,0.4725342
3.039062,0.4725342
3.046875,0.4725342
3.054688,0.4725342
3.0625,0.4725037
3.070312,0.4725037
3.078125,0.4725037
3.085938,0.4724731
3.09375,0.4724731
3.101562,0.4724731
3.109375,0.4724731
3.117188,0.4725037
3.125,0.4725342
3.132812,0.4725647
3.140625,0.4726257
3.148438,0.4726257
3.15625,0.4726562
3.164062,0.4726868
3.171875,0.4727478
3.179688,0.4728088
3.1875,0.4728394
3.195312,0.4728394
3.203125,0.4728699
3.210938,0.4729004
3.21875,0.4729004
3.226562,0.4729004
3.234375,0.4729309
3.242188,0.4729309
3.25,0.4729309
3.257812,0.4729309
3.265625,0.4729004
3.273438,0.4729004
3.28125,0.4729004
3.289062,0.4729004
3.296875,0.4729004
3.304688,0.4729309
3.3125,0.4729309
3.320312,0.4729614
3.328125,0.4729919
3.335938,0.4730225
3.34375,0.473053
3.351562,0.4730835
3.359375,0.4730835
3.367188,0.4731445
3.375,0.473175
3.382812,0.4732056
3.390625,0.4732056
3.398438,0.4732056
3.40625,0.4732056
3.414062,0.4732056
3.421875,0.4732056
3.429688,0.473175
3.4375,0.473175
3.445312,0.473175
3.453125,0.473175
3.460938,0.4731445
3.46875,0.4731445
3.476562,0.4731445
3.484375,0.4731445
3.492188,0.4731445
3.5,0.473114
3.507812,0.473114
3.515625,0.473114
3.523438,0.473114
3.53125,0.473114
3.539062,0.473114
3.546875,0.473114
3.554688,0.473114
3.5625,0.473114
3.570312,0.473114
3.578125,0.473114
3.585938,0.473114
3.59375,0.473114
3.601562,0.473114
3.609375,0.473114
3.617188,0.473114
3.625,0.473114
3.632812,0.473114
3.640625,0.473114
3.648438,0.473114
3.65625,0.473114
3.664062,0.473114
3.671875,0.473114
3.679688,0.473114
3.6875,0.4731445
3.695312,0.4731445
3.703125,0.473175
3.710938,0.473175
3.71875,0.473175
3.726562,0.473175
3.734375,0.473175
3.742188,0.473175
3.75,0.473175
3.757812,0.473175
3.765625,0.473175
3.773438,0.473175
3.78125,0.473175
3.789062,0.473175
3.796875,0.473175
3.804688,0.4731445
3.8125,0.4731445
3.820312,0.4731445
3.828125,0.4731445
3.835938,0.473114
3.84375,0.473114
3.851562,0.473114
3.859375,0.473114
3.867188,0.473114
3.875,0.473114
3.882812,0.4731445
3.890625,0.4731445
3.898438,0.4731445
3.90625,0.4731445
3.914062,0.473114
3.921875,0.473114
3.929688,0.473114
