Time_s,Ch1
0,-0.002563477
0.015625,-0.002288818
0.03125,-0.002563477
0.046875,-0.002502441
0.0625,-0.002471924
0.078125,-0.002471924
0.09375,-0.004394531
0.109375,-0.004516602
0.125,-0.004699707
0.140625,-0.004730225
0.15625,-0.004516602
0.171875,-0.004638672
0.1875,-0.00479126
0.203125,-0.004760742
0.21875,-0.004547119
0.234375,-0.004699707
0.25,-0.004699707
0.265625,-0.004638672
0.28125,-0.004730225
0.296875,-0.004730225
0.3125,-0.004577637
0.328125,-0.004577637
0.34375,-0.004516602
0.359375,-0.004638672
0.375,-0.004638672
0.390625,-0.004486084
0.40625,-0.004486084
0.421875,-0.004516602
0.4375,-0.004638672
0.453125,-0.004699707
0.46875,-0.004577637
0.484375,-0.004425049
0.5,-0.004669189
0.515625,-0.004699707
0.53125,-0.004638672
0.546875,-0.004760742
0.5625,-0.004669189
0.578125,-0.004608154
0.59375,-0.004608154
0.609375,-0.004669189
0.625,-0.004547119
0.640625,-0.004547119
0.65625,-0.004638672
0.671875,-0.004516602
0.6875,-0.004577637
0.703125,-0.004669189
0.71875,-0.004608154
0.734375,-0.004699707
0.75,-0.004730225
0.765625,-0.004760742
0.78125,-0.004608154
0.796875,-0.004516602
0.8125,-0.004760742
0.828125,-0.004730225
0.84375,-0.004669189
0.859375,-0.004608154
0.875,-0.004516602
0.890625,-0.004547119
0.90625,-0.004608154
0.921875,-0.004638672
0.9375,-0.004425049
0.953125,-0.004272461
0.96875,-0.004089355
0.984375,-0.004089355
1,-0.004608154
1.015625,-0.005279541
1.03125,-0.004730225
1.046875,-0.004669189
1.0625,-0.004821777
1.078125,-0.004821777
1.09375,-0.00491333
1.109375,-0.00479126
1.125,-0.004760742
1.140625,-0.004760742
1.15625,-0.004760742
1.171875,-0.004669189
1.1875,-0.004852295
1.203125,-0.004760742
1.21875,-0.00479126
1.234375,-0.004852295
1.25,-0.004852295
1.265625,-0.004852295
1.28125,-0.004760742
1.296875,-0.004852295
1.3125,-0.00479126
1.328125,-0.004760742
1.34375,-0.004760742
1.359375,-0.004638672
1.375,-0.004699707
1.390625,-0.004699707
1.40625,-0.004730225
1.421875,-0.004669189
1.4375,-0.004699707
1.453125,-0.004699707
1.46875,-0.004730225
1.484375,-0.004699707
1.5,-0.004669189
1.515625,-0.004608154
1.53125,-0.004547119
1.546875,-0.004730225
1.5625,-0.004638672
1.578125,-0.004486084
1.59375,-0.004516602
1.609375,-0.004577637
1.625,-0.004547119
1.640625,-0.004425049
1.65625,-0.005065918
1.671875,-0.004608154
1.6875,-0.004699707
1.703125,-0.004730225
1.71875,-0.004821777
1.734375,-0.00567627
1.75,-0.005371094
1.765625,-0.004089355
1.78125,-0.002105713
1.796875,-0.003387451
1.8125,-0.007781982
1.828125,-0.004821777
1.84375,-0.004882812
1.859375,-0.004974365
1.875,-0.005065918
1.890625,-0.004974365
1.90625,-0.005065918
1.921875,-0.00479126
1.9375,-0.004730225
1.953125,-0.005401611
1.96875,-0.005523682
1.984375,-0.005310059
2,-0.005462646
2.015625,-0.005554199
2.03125,-0.005615234
2.046875,-0.005554199
2.0625,-0.005767822
2.078125,-0.005859375
2.09375,-0.00604248
2.109375,-0.006103516
2.125,-0.00592041
2.140625,-0.005523682
2.15625,-0.005340576
2.171875,-0.005340576
2.1875,-0.005340576
2.203125,-0.005371094
2.21875,-0.005432129
2.234375,-0.005310059
2.25,-0.005462646
2.265625,-0.005462646
2.28125,-0.005554199
2.296875,-0.005523682
2.3125,-0.005432129
2.328125,-0.005432129
2.34375,-0.005432129
2.359375,-0.005493164
2.375,-0.005401611
2.390625,-0.005432129
2.40625,-0.005401611
2.421875,-0.005432129
2.4375,-0.005523682
2.453125,-0.005371094
2.46875,-0.005371094
2.484375,-0.005340576
2.5,-0.005432129
2.515625,-0.005401611
