Time_s,Ch1
0,0.0003051758
1,0.0003051758
2,0.0003051758
3,0.0003051758
4,0.0003051758
5,0.0003051758
6,0.0003051758
7,0.0004272461
8,0.0007019043
9,0.0009155273
10,0.00100708
11,0.0009460449
12,0.000793457
13,0.0006713867
14,0.0006408691
15,0.0006408691
16,0.0006103516
17,0.0006103516
18,0.0006408691
19,0.0006408691
20,0.0006408691
21,0.0006408691
22,0.0006103516
23,0.000579834
24,0.000579834
25,0.000579834
26,0.000579834
27,0.000579834
28,0.000579834
29,0.0005187988
30,0.0004882812
31,0.0004882812
32,0.0004882812
33,0.0004882812
34,0.0004882812
35,0.0004882812
36,0.0004882812
37,0.0004577637
38,0.0004272461
39,0.0004272461
40,0.0004272461
41,0.0004272461
42,0.0004272461
43,0.0003967285
44,0.0003967285
45,0.0003662109
46,0.0003662109
47,0.0003662109
48,0.0003967285
49,0.0003967285
50,0.0003967285
51,0.0003967285
52,0.0003967285
53,0.0003967285
54,0.0003967285
55,0.0003967285
56,0.0003967285
57,0.0004272461
58,0.0004272461
59,0.0004577637
60,0.0005187988
61,0.000579834
62,0.0006408691
63,0.0007019043
64,0.0007019043
65,0.0007019043
66,0.0006713867
67,0.0006713867
68,0.0006713867
69,0.0006713867
70,0.0006713867
71,0.0006713867
72,0.0007019043
73,0.0007019043
74,0.0007019043
75,0.0007324219
76,0.0007324219
77,0.0007629395
78,0.0007629395
79,0.0007629395
80,0.0007324219
81,0.0007324219
82,0.0007019043
83,0.0007019043
84,0.0006713867
85,0.0006713867
86,0.0006713867
87,0.0006713867
88,0.0006713867
89,0.0007019043
90,0.0007019043
91,0.0006713867
92,0.0006408691
93,0.0006408691
94,0.0006408691
95,0.0006408691
96,0.0006408691
97,0.0006408691
98,0.0006408691
99,0.000579834
100,0.0005187988
101,0.0005187988
102,0.0004882812
103,0.0005187988
104,0.0005187988
105,0.0005187988
106,0.0005493164
107,0.0005187988
108,0.0005187988
109,0.0005187988
110,0.0005493164
111,0.0005493164
112,0.0005493164
113,0.0005493164
114,0.0005493164
115,0.0006103516
116,0.0007019043
117,0.0008239746
118,0.0008850098
119,0.0008544922
120,0.0008544922
121,0.0008850098
122,0.0009155273
123,0.0009460449
124,0.0009460449
125,0.0009460449
126,0.0009765625
127,0.00100708
128,0.00100708
129,0.00100708
130,0.0009765625
131,0.0009460449
132,0.0009460449
133,0.0009765625
134,0.0009765625
135,0.00100708
136,0.0009765625
137,0.0009765625
138,0.0009765625
139,0.0009765625
140,0.0009460449
141,0.0009460449
142,0.0009155273
143,0.0009155273
144,0.0009155273
145,0.0009155273
146,0.0009155273
147,0.0008850098
148,0.0008850098
149,0.0008850098
150,0.0008850098
151,0.0009155273
152,0.0009155273
153,0.0009155273
154,0.0009460449
155,0.0009460449
156,0.0009765625
157,0.00100708
158,0.00100708
159,0.00100708
160,0.001037598
161,0.001037598
162,0.001037598
163,0.001037598
164,0.00100708
165,0.0009765625
166,0.0009460449
167,0.0009765625
168,0.0009765625
169,0.0009765625
170,0.0009460449
171,0.0009155273
172,0.0009155273
173,0.0009155273
174,0.0009155273
175,0.0009460449
176,0.0009460449
177,0.0009460449
178,0.0009155273
179,0.0008850098
180,0.0007324219
181,0.0006408691
182,0.0006408691
183,0.0007019043
184,0.0007324219
185,0.0007324219
186,0.0007019043
187,0.0007019043
188,0.0007019043
189,0.0007019043
190,0.0007019043
191,0.0007019043
192,0.0007629395
193,0.0008850098
194,0.00100708
195,0.00100708
196,0.0009460449
197,0.0008850098
198,0.0008850098
199,0.0008544922
200,0.0008544922
201,0.0008544922
202,0.0008544922
203,0.0008544922
204,0.0008544922
205,0.0008544922
206,0.0008544922
207,0.0008239746
208,0.0008239746
209,0.000793457
210,0.000793457
211,0.0008239746
212,0.0008544922
213,0.0008850098
214,0.0009155273
215,0.0009765625
216,0.00100708
217,0.00100708
218,0.00100708
219,0.00100708
220,0.001037598
221,0.00100708
222,0.0009765625
223,0.0009460449
224,0.0009460449
225,0.0009460449
226,0.0009460449
227,0.0009155273
228,0.0008544922
229,0.0008239746
230,0.000793457
231,0.0007629395
232,0.0007629395
233,0.0007629395
234,0.0007019043
235,0.0006408691
236,0.0006408691
237,0.0006408691
238,0.0006408691
239,0.0006103516
240,0.0006103516
241,0.0006103516
242,0.0006103516
243,0.0006103516
244,0.0006103516
245,0.0006103516
246,0.000579834
247,0.0006103516
248,0.0006103516
249,0.0006408691
250,0.0006408691
251,0.0006408691
252,0.0006408691
253,0.0006713867
254,0.0006713867
255,0.0006713867
256,0.0006713867
