Time_s,Ch1
0,0.00177002
1,0.00177002
2,0.00177002
3,0.00177002
4,0.00177002
5,0.00177002
6,0.00177002
7,0.00177002
8,0.00177002
9,0.01513672
10,0.01513672
11,0.01559448
12,0.01513672
13,0.01647949
14,0.01647949
15,0.01647949
16,0.01647949
17,0.01647949
18,0.01513672
19,0.01513672
20,0.01535034
21,0.01397705
22,0.01467896
23,0.01422119
24,0.01443481
25,0.01324463
26,0.01211548
27,0.01156616
28,0.01098633
29,0.008758545
30,0.008483887
31,0.00793457
32,0.00793457
33,0.00793457
34,0.007080078
35,0.007080078
36,0.005401611
37,0.004577637
38,0.005126953
39,0.005126953
40,0.004852295
41,0.003448486
42,0.003509521
43,0.003509521
44,0.00177002
45,0.00177002
46,0.003570557
47,0.003570557
48,0.003570557
49,0.00177002
50,0.00177002
51,0.00177002
52,0.00177002
53,0.00177002
54,0.003387451
55,0.003448486
56,0.003997803
57,0.004577637
58,0.004302979
59,0.004852295
60,0.005126953
61,0.007080078
62,0.007629395
63,0.007080078
64,0.008209229
65,0.008209229
66,0.009887695
67,0.009887695
68,0.009887695
69,0.009307861
70,0.009307861
71,0.009887695
72,0.0112915
73,0.01239014
74,0.01239014
75,0.01467896
76,0.01397705
77,0.01422119
78,0.01467896
79,0.01489258
80,0.01602173
81,0.01489258
82,0.01443481
83,0.01376343
84,0.01293945
85,0.01239014
86,0.01156616
87,0.01043701
88,0.01016235
89,0.009033203
90,0.008209229
91,0.00793457
92,0.00793457
93,0.007080078
94,0.007080078
95,0.007080078
96,0.007080078
97,0.006530762
98,0.006256104
99,0.006256104
100,0.006256104
101,0.00567627
102,0.005401611
103,0.004302979
104,0.003723145
105,0.003448486
106,0.003448486
107,0.003570557
108,0.003997803
109,0.004302979
110,0.004302979
111,0.004302979
112,0.005401611
113,0.00567627
114,0.007629395
115,0.008209229
116,0.007629395
117,0.007629395
118,0.009307861
119,0.01071167
120,0.0112915
121,0.0112915
122,0.01156616
123,0.01184082
124,0.01184082
125,0.01211548
126,0.01211548
127,0.01239014
128,0.01239014
129,0.01211548
130,0.01156616
131,0.01156616
132,0.01184082
133,0.01156616
134,0.01156616
135,0.01184082
136,0.01239014
137,0.01266479
138,0.01266479
139,0.01266479
140,0.01324463
141,0.01351929
142,0.01376343
143,0.01376343
144,0.01351929
145,0.01324463
146,0.01324463
147,0.01324463
148,0.01324463
149,0.01293945
150,0.01266479
151,0.01239014
152,0.01211548
153,0.01184082
154,0.01156616
155,0.0112915
156,0.01098633
157,0.0112915
158,0.0112915
159,0.01098633
160,0.01098633
161,0.0112915
162,0.0112915
163,0.0112915
164,0.0112915
165,0.0112915
166,0.0112915
167,0.01211548
168,0.01211548
169,0.01211548
170,0.01266479
171,0.01266479
172,0.01293945
173,0.01239014
174,0.01184082
175,0.01239014
176,0.01239014
177,0.01266479
178,0.01351929
179,0.01156616
180,0.01184082
181,0.0112915
182,0.01071167
183,0.01071167
184,0.01071167
185,0.01098633
186,0.01043701
187,0.01043701
188,0.01043701
189,0.01156616
190,0.01156616
191,0.01098633
192,0.01071167
193,0.01098633
194,0.01043701
195,0.01043701
196,0.01098633
197,0.01098633
198,0.01098633
199,0.01016235
200,0.01016235
201,0.009613037
202,0.009033203
203,0.009033203
204,0.009033203
205,0.009033203
206,0.005981445
207,0.006530762
208,0.006530762
209,0.005401611
210,0.005401611
211,0.00567627
212,0.005126953
213,0.004577637
214,0.004577637
215,0.00567627
216,0.006256104
217,0.005981445
218,0.006256104
219,0.00680542
220,0.009307861
221,0.009307861
222,0.009307861
223,0.009307861
224,0.009887695
225,0.01098633
226,0.01239014
227,0.01156616
228,0.01156616
229,0.0112915
230,0.0112915
231,0.01156616
232,0.01156616
233,0.01184082
234,0.01184082
235,0.01184082
236,0.01156616
237,0.01184082
238,0.01184082
239,0.01211548
240,0.01211548
241,0.01324463
242,0.01324463
243,0.01324463
244,0.01397705
245,0.01324463
246,0.01239014
247,0.01324463
248,0.01324463
249,0.01397705
250,0.01376343
251,0.01397705
252,0.01324463
253,0.01266479
254,0.01266479
255,0.01351929
256,0.01266479
257,0.01376343
258,0.01266479
259,0.01184082
260,0.01156616
261,0.01156616
262,0.01184082
263,0.01239014
264,0.01266479
265,0.01324463
266,0.01376343
267,0.01376343
268,0.01397705
269,0.01351929
270,0.01559448
271,0.01559448
272,0.01559448
273,0.01559448
274,0.01559448
275,0.01580811
276,0.01559448
277,0.01559448
278,0.01467896
279,0.01443481
280,0.01397705
281,0.01397705
282,0.01376343
283,0.01351929
284,0.01351929
285,0.01324463
286,0.01293945
287,0.01266479
288,0.01239014
289,0.01239014
290,0.01293945
291,0.01266479
292,0.01266479
293,0.01293945
294,0.01293945
295,0.01293945
296,0.01293945
297,0.01324463
298,0.01293945
299,0.01351929
300,0.01351929
301,0.01351929
302,0.01293945
303,0.01293945
304,0.01324463
305,0.01324463
306,0.01293945
307,0.01324463
308,0.01324463
309,0.01071167
310,0.009887695
311,0.01016235
312,0.009307861
313,0.008209229
314,0.006530762
315,0.005981445
316,0.005981445
317,0.005981445
