Time_s,Ch1
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0.00100708
13,0
14,0
15,0
16,0
17,0.001037598
18,0.001037598
19,0.0009460449
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0.001037598
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0.0009460449
130,0.001068115
131,0.001190186
132,0.001556396
133,0.001953125
134,0.00213623
135,0.001800537
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0.001251221
342,0.002441406
343,0.003143311
344,0.003479004
345,0.003631592
346,0.003631592
347,0.003601074
348,0.003601074
349,0.003570557
350,0.003509521
351,0.003265381
352,0.002838135
353,0.002471924
354,0.002532959
355,0.002960205
356,0.003326416
357,0.003417969
358,0.003417969
359,0.003387451
360,0.003417969
361,0.003479004
362,0.003448486
363,0.003417969
364,0.003387451
365,0.003387451
366,0.003417969
367,0.003448486
368,0.003540039
369,0.003601074
370,0.003662109
371,0.003662109
372,0.003723145
373,0.00390625
374,0.004089355
375,0.004150391
376,0.003967285
377,0.003692627
378,0.003479004
379,0.003448486
380,0.003540039
381,0.003601074
382,0.003601074
383,0.003509521
384,0.003448486
385,0.003479004
386,0.003509521
387,0.003540039
388,0.003570557
389,0.003570557
390,0.003540039
391,0.003509521
392,0.003479004
393,0.003509521
394,0.003570557
395,0.003631592
396,0.003631592
397,0.003631592
398,0.003631592
399,0.003570557
400,0.003601074
401,0.003631592
402,0.003631592
403,0.003570557
404,0.003540039
405,0.003540039
406,0.003509521
407,0.003540039
408,0.003570557
409,0.003540039
410,0.003479004
411,0.003387451
412,0.003356934
413,0.003356934
414,0.003387451
415,0.003448486
416,0.003509521
417,0.003479004
418,0.003479004
419,0.003509521
420,0.003601074
421,0.003631592
422,0.003631592
423,0.003601074
424,0.003601074
425,0.003631592
426,0.003631592
427,0.003631592
428,0.003601074
429,0.003601074
