Time_s,Ch1
0,-0.004455566
0.015625,-0.006011963
0.03125,-0.005706787
0.046875,-0.005432129
0.0625,-0.004943848
0.078125,-0.005859375
0.09375,-0.006713867
0.109375,-0.006988525
0.125,-0.007415771
0.140625,-0.009338379
0.15625,-0.008148193
0.171875,-0.006072998
0.1875,-0.004150391
0.203125,-0.00378418
0.21875,-0.01513672
0.234375,-0.009460449
0.25,-0.00692749
0.265625,-0.00579834
0.28125,-0.003753662
0.296875,-0.007507324
0.3125,-0.006103516
0.328125,-0.006103516
0.34375,-0.007202148
0.359375,-0.008575439
0.375,-0.00668335
0.390625,-0.005859375
0.40625,-0.005981445
0.421875,-0.006866455
0.4375,-0.01144409
0.453125,-0.00579834
0.46875,-0.00491333
0.484375,-0.004760742
0.5,-0.005126953
0.515625,-0.008453369
0.53125,-0.006256104
0.546875,-0.006286621
0.5625,-0.006011963
0.578125,-0.006256104
0.59375,-0.006347656
0.609375,-0.006622314
0.625,-0.006774902
0.640625,-0.006774902
0.65625,-0.007141113
0.671875,-0.007751465
0.6875,-0.007476807
0.703125,-0.006195068
0.71875,-0.006469727
0.734375,-0.006439209
0.75,-0.006896973
0.765625,-0.007385254
0.78125,-0.006561279
0.796875,-0.006561279
0.8125,-0.006835938
0.828125,-0.006835938
0.84375,-0.006744385
0.859375,-0.006866455
0.875,-0.007171631
0.890625,-0.007171631
0.90625,-0.007202148
0.921875,-0.007263184
0.9375,-0.006744385
0.953125,-0.006866455
0.96875,-0.007019043
0.984375,-0.00680542
1,-0.006835938
1.015625,-0.00692749
1.03125,-0.00680542
1.046875,-0.006744385
1.0625,-0.00692749
1.078125,-0.007080078
1.09375,-0.006744385
1.109375,-0.006835938
1.125,-0.006896973
1.140625,-0.006896973
1.15625,-0.006774902
1.171875,-0.006896973
1.1875,-0.006958008
1.203125,-0.006958008
1.21875,-0.00692749
1.234375,-0.006866455
1.25,-0.006835938
1.265625,-0.006896973
1.28125,-0.006774902
1.296875,-0.006958008
1.3125,-0.006896973
1.328125,-0.006835938
1.34375,-0.006958008
1.359375,-0.006866455
1.375,-0.006774902
1.390625,-0.006866455
1.40625,-0.006988525
1.421875,-0.006713867
1.4375,-0.006774902
1.453125,-0.006866455
1.46875,-0.006835938
1.484375,-0.00668335
1.5,-0.00680542
1.515625,-0.006561279
1.53125,-0.005004883
1.546875,-0.00592041
1.5625,-0.006378174
1.578125,-0.006622314
1.59375,-0.006561279
1.609375,-0.00592041
1.625,-0.004760742
1.640625,-0.005310059
1.65625,-0.003479004
1.671875,-0.006774902
1.6875,-0.01022339
1.703125,-0.009429932
1.71875,-0.01104736
1.734375,-0.004638672
1.75,-0.007537842
1.765625,-0.006622314
1.78125,-0.00692749
1.796875,-0.005615234
1.8125,-0.01156616
1.828125,-0.01168823
1.84375,-0.01321411
1.859375,-0.01174927
1.875,-0.00680542
1.890625,-0.002166748
1.90625,-0.007781982
1.921875,-0.006378174
1.9375,-0.006713867
1.953125,-0.005340576
1.96875,-0.006835938
1.984375,-0.009368896
2,-0.008178711
2.015625,-0.007537842
2.03125,-0.01037598
2.046875,-0.01116943
2.0625,-0.004516602
2.078125,-0.005645752
2.09375,-0.006530762
2.109375,-0.007110596
2.125,-0.007202148
2.140625,-0.007446289
2.15625,-0.00680542
2.171875,-0.007019043
2.1875,-0.006835938
2.203125,-0.005401611
2.21875,-0.008148193
2.234375,-0.008605957
2.25,-0.008148193
2.265625,-0.008087158
2.28125,-0.008300781
2.296875,-0.005981445
2.3125,-0.005310059
2.328125,-0.007537842
2.34375,-0.006561279
2.359375,-0.004608154
2.375,-0.00869751
2.390625,-0.008148193
2.40625,-0.006622314
2.421875,-0.006622314
2.4375,-0.007476807
2.453125,-0.004974365
2.46875,-0.005401611
2.484375,-0.005889893
2.5,-0.006713867
2.515625,-0.007781982
2.53125,-0.006225586
2.546875,-0.006164551
2.5625,-0.006439209
2.578125,-0.006347656
2.59375,-0.006256104
2.609375,-0.006011963
2.625,-0.006500244
2.640625,-0.005371094
2.65625,-0.004821777
2.671875,-0.005859375
2.6875,-0.006866455
2.703125,-0.005523682
2.71875,-0.005218506
2.734375,-0.00567627
2.75,-0.005645752
2.765625,-0.00579834
2.78125,-0.006866455
2.796875,-0.006774902
2.8125,-0.00692749
2.828125,-0.006744385
2.84375,-0.006195068
2.859375,-0.005249023
2.875,-0.005889893
2.890625,-0.006256104
2.90625,-0.00680542
2.921875,-0.006622314
2.9375,-0.006591797
2.953125,-0.006072998
2.96875,-0.005310059
2.984375,-0.004699707
3,-0.004760742
3.015625,-0.006591797
3.03125,-0.006530762
3.046875,-0.006591797
3.0625,-0.006072998
3.078125,-0.00567627
3.09375,-0.00479126
3.109375,-0.004547119
3.125,-0.004547119
3.140625,-0.005432129
3.15625,-0.005889893
3.171875,-0.006500244
3.1875,-0.006256104
3.203125,-0.005126953
3.21875,-0.003814697
3.234375,-0.003295898
3.25,-0.003753662
3.265625,-0.007354736
3.28125,-0.00769043
3.296875,-0.007659912
3.3125,-0.006713867
3.328125,-0.006011963
3.34375,-0.004760742
3.359375,-0.005462646
3.375,-0.006134033
3.390625,-0.007171631
3.40625,-0.006988525
3.421875,-0.006103516
3.4375,-0.006713867
3.453125,-0.007659912
3.46875,-0.00793457
3.484375,-0.007720947
3.5,-0.005004883
3.515625,-0.006072998
3.53125,-0.006164551
3.546875,-0.006164551
3.5625,-0.006408691
3.578125,-0.005401611
3.59375,-0.005645752
3.609375,-0.003967285
3.625,0.001220703
3.640625,0.003662109
3.65625,-0.01062012
3.671875,-0.00668335
3.6875,-0.006408691
3.703125,-0.003540039
3.71875,-0.004638672
3.734375,-0.006164551
3.75,-0.006317139
3.765625,-0.008209229
3.78125,-0.005340576
3.796875,-0.00378418
3.8125,-0.003845215
3.828125,-0.00402832
3.84375,-0.005065918
3.859375,-0.006286621
3.875,-0.008972168
3.890625,-0.006744385
3.90625,-0.005950928
3.921875,-0.006011963
3.9375,-0.006439209
3.953125,-0.005432129
3.96875,-0.007568359
3.984375,-0.004241943
4,0.01599121
4.015625,-0.005096436
4.03125,-0.005950928
4.046875,-0.006317139
4.0625,-0.005371094
4.078125,-0.006347656
4.09375,-0.007232666
4.109375,-0.007415771
4.125,-0.006774902
4.140625,-0.006896973
4.15625,-0.004333496
4.171875,-0.008300781
4.1875,-0.006835938
4.203125,-0.002380371
4.21875,-0.012146
4.234375,-0.007080078
4.25,-0.005767822
4.265625,-0.006072998
4.28125,-0.006835938
4.296875,-0.006408691
4.3125,-0.002502441
4.328125,-0.008331299
4.34375,-0.009796143
4.359375,-0.006866455
4.375,-0.009002686
4.390625,-0.01416016
4.40625,-0.009399414
4.421875,-0.01074219
4.4375,-0.004455566
4.453125,-0.00491333
4.46875,-0.002288818
4.484375,0.001708984
4.5,-0.01028442
4.515625,-0.004089355
4.53125,-0.01394653
4.546875,-0.007415771
4.5625,-0.005615234
4.578125,-0.0050354
4.59375,-0.005462646
4.609375,-0.006164551
4.625,-0.006103516
4.640625,-0.004455566
4.65625,-0.00378418
4.671875,-0.002838135
4.6875,-0.003753662
4.703125,-0.008056641
4.71875,-0.00894165
4.734375,-0.009124756
4.75,-0.008087158
4.765625,-0.006317139
4.78125,-0.008087158
4.796875,-0.007232666
4.8125,-0.00567627
4.828125,-0.004638672
4.84375,-0.004241943
4.859375,-0.00793457
4.875,-0.007781982
4.890625,-0.006958008
4.90625,-0.007141113
4.921875,-0.007263184
4.9375,-0.005279541
4.953125,-0.005737305
4.96875,-0.008575439
4.984375,-0.007781982
5,-0.004943848
5.015625,-0.005859375
5.03125,-0.006774902
5.046875,-0.006622314
5.0625,-0.006439209
5.078125,-0.006103516
5.09375,-0.008728027
5.109375,-0.0112915
5.125,-0.0123291
5.140625,-0.01107788
5.15625,-0.009246826
5.171875,0.00869751
5.1875,-0.003356934
5.203125,-0.003936768
5.21875,-0.001159668
5.234375,-0.00390625
5.25,-0.001922607
5.265625,-0.01116943
5.28125,-0.01477051
5.296875,-0.01373291
5.3125,-0.01049805
5.328125,-0.008972168
5.34375,-0.002197266
5.359375,-0.0002441406
5.375,-9.155273e-05
5.390625,-0.003143311
5.40625,-0.00680542
5.421875,-0.005828857
5.4375,-0.005249023
5.453125,-0.005462646
5.46875,-0.005859375
5.484375,-0.005737305
5.5,-0.007598877
5.515625,-0.007659912
5.53125,-0.005493164
5.546875,-0.003692627
5.5625,-0.004211426
5.578125,-0.006774902
5.59375,-0.006134033
5.609375,-0.008087158
5.625,-0.008483887
