Time_s,Ch1
0,0
1,0
2,0
3,0
4,0
5,0.09057617
6,0.01675415
7,0.08062744
8,0.05130005
9,0.008880615
10,0.1042175
11,0.1042175
12,0.1042175
13,0.1848755
14,0.1848755
15,0.1848755
16,0.1848755
17,0.5640564
18,0.08221436
19,0.14505
20,0.14505
21,0.1921997
22,0.1691589
23,0.1691589
24,0.1691589
25,0.1691589
26,0.1691589
27,0.1691589
28,0.1691589
29,0.1691589
30,0.1691589
31,0.1691589
32,0.1691589
33,0.1691589
34,0.1691589
35,0.1691589
36,0.08798218
37,0.08798218
38,0.2461548
39,0.2461548
40,0.1549988
41,0.1549988
42,0.1549988
43,0.1549988
44,0
45,0
46,0
47,0.217865
48,0.217865
49,0.3435669
50,0.3435669
51,0.0947876
52,0.0947876
53,0.0947876
54,0.0947876
55,0.0947876
56,0.0947876
57,0.07382202
58,0.07382202
59,0.07382202
60,0.07382202
61,0.07382202
62,0.07382202
63,0.07382202
64,0.07382202
65,0.07382202
66,0.07382202
67,0.09844971
68,0.09844971
69,0.09844971
70,0.09844971
71,0.09844971
72,0.09844971
73,0.09844971
74,0.09844971
75,0.09844971
76,0.09844971
77,0.09844971
78,0.09844971
79,0.06387329
80,0.06387329
81,0.06387329
82,0.06387329
83,0.06387329
84,0.06387329
85,0.06387329
86,0.06387329
87,0.06387329
88,0.06387329
89,0.06387329
90,0.06387329
91,0.06387329
92,0.06387329
93,0.06387329
94,0.05654907
95,0.05654907
96,0.05654907
97,0.05654907
98,0.05654907
99,0.05654907
100,0.05654907
101,0.05654907
102,0.05654907
103,0.05654907
104,0.05654907
105,0.05654907
106,0.05654907
107,0.1811829
108,0.1811829
109,0.1811829
110,0.1811829
111,0.1811829
112,0.0345459
113,0.0345459
114,0.0345459
115,0.0345459
116,0.02932739
117,0.02932739
118,0.02932739
119,0.02932739
120,0.02932739
121,0.02932739
122,0.02932739
123,0.02932739
124,0.02932739
125,0.02932739
126,0.02932739
127,0.02932739
128,0.1864319
129,0.1864319
130,0.1864319
131,0.1864319
132,0.1864319
133,0.1864319
134,0.1864319
135,0.1864319
136,0.1864319
137,0.1864319
138,0.1864319
139,0.1864319
140,0.1864319
141,0.1864319
142,0.1864319
143,0.1864319
144,0.1167908
145,0.1167908
146,0.1167908
147,0.1167908
148,0.1167908
149,0.1167908
150,0.1167908
151,0.1167908
152,0.1167908
153,0.1167908
154,0.1167908
155,0.065979
156,0.065979
157,0.065979
158,0.065979
159,0.065979
160,0.065979
161,0.065979
162,0.065979
163,0.065979
164,0.065979
165,0.065979
166,0.065979
167,0.065979
168,0.065979
169,0.065979
170,0.065979
171,0.065979
172,0.065979
173,0.065979
174,0.065979
175,0.065979
176,0.03665161
177,0.03665161
178,0.03665161
179,0.03665161
180,0.03665161
181,0.03088379
182,0.03088379
183,0.03088379
184,0.03088379
185,0.08901978
186,0.08901978
187,0.08901978
188,0.08901978
189,0.08901978
190,0.08901978
191,0.08901978
192,0.08901978
193,0.05184937
194,0.05184937
195,0.05184937
196,0.05184937
197,0.05184937
198,0.05184937
199,0.05184937
200,0.05706787
201,0.05706787
202,0.05706787
203,0.05706787
204,0.03192139
205,0.03192139
206,0.03192139
207,0.03192139
208,0.03192139
209,0.03192139
210,0.04241943
211,0.04241943
212,0.04241943
213,0.04241943
214,0.04241943
215,0.04241943
216,0.04241943
217,0.02041626
218,0.02041626
219,0.02041626
220,0.02041626
221,0.02041626
222,0.02041626
223,0.02041626
224,0.02459717
225,0.02459717
226,0.02459717
227,0.02459717
228,0.02459717
229,0.02722168
230,0.02722168
231,0.02722168
232,0.02722168
233,0.02722168
234,0.0350647
235,0.0350647
236,0.0350647
237,0.04083252
238,0.04083252
239,0.04083252
240,0.04083252
241,0.04083252
242,0.04083252
243,0.04083252
244,0.04083252
245,0.04083252
246,0.04083252
247,0.02877808
248,0.02877808
249,0.02877808
250,0.02877808
251,0.02877808
252,0.03820801
253,0.03820801
254,0.03820801
255,0.03820801
256,0.03820801
257,0.01727295
258,0.01727295
259,0.01361084
260,0.01361084
261,0.01464844
262,0.01464844
263,0.02932739
264,0.02041626
265,0.02041626
266,0.02304077
267,0.02304077
268,0.0340271
269,0.0340271
270,0.0340271
271,0.0340271
272,0.0340271
