Time_s,Ch1
0,0
1,0.0002441406
2,0.0002441406
3,0.0002441406
4,0.0003662109
5,0.0002441406
6,0.0002441406
7,0.0002441406
8,0.0002441406
9,0.0002441406
10,0.0002441406
11,0.0002441406
12,0.0002441406
13,0.0002441406
14,0.0002441406
15,0.0002441406
16,0.0002441406
17,0
18,0
19,0
20,0
21,0
22,0.0002441406
23,0.0002441406
24,0.0002441406
25,0.0002441406
26,0.0002441406
27,0.0002441406
28,0.0002441406
29,0.0002441406
30,0.0002441406
31,0.0002441406
32,0.0002441406
33,0.0002441406
34,0.0002441406
35,0.0002441406
36,0.0002441406
37,0.0002441406
38,0.0002441406
39,0.0002441406
40,0.0002441406
41,0
42,0.0002441406
43,0.0002441406
44,0.0002441406
45,0.0002441406
46,0.0002441406
47,0.0002441406
48,0.0002441406
49,0.0002441406
50,0.0002441406
51,0.0002441406
52,0.0002441406
53,0.0002441406
54,0.0002441406
55,0.0002441406
56,0.0002441406
57,0.0002441406
58,0.0002441406
59,0.0002441406
60,0.0002441406
61,0.0002441406
62,0.0002441406
63,0.0002441406
64,0.0002441406
65,0.0002441406
66,0.0002441406
67,0.0002441406
68,0.0002441406
69,0.0002441406
70,0.0002441406
71,0
72,0
73,0
74,0
75,0.0002441406
76,0
77,0
78,0
79,0
80,0
81,0.0002441406
82,0
83,0
84,0
85,0.0002441406
86,0
87,0.0007324219
88,0.0007324219
89,0.0004882812
90,0.0002441406
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0.0002441406
101,0.0002441406
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0.0004882812
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0.0004882812
142,0
143,0
144,0
145,0
146,0
147,0.0004882812
148,0
149,0.0004882812
150,0.0004882812
151,0
152,0
153,0.0004882812
154,0
155,0
156,0
157,0
158,0
159,0.0004882812
160,0.0007324219
161,0.0004882812
162,0.0004882812
163,0
164,0.0004882812
165,0
166,0
167,0
168,0
169,0.0004882812
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0.0004882812
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0.0002441406
197,0.0002441406
198,0
199,0
200,0.0007324219
201,0.0004882812
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0.0004882812
217,0
218,0
219,0
220,0
221,0
222,0.0004882812
223,0
224,0.0002441406
225,0
226,0
227,0
228,0.0004882812
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0.0004882812
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0.0002441406
252,0
253,0
254,0
255,0.0002441406
256,0
257,0.0004882812
258,0.0002441406
259,0
260,0.0007324219
261,0
262,0.0002441406
263,0.0002441406
264,0.0002441406
265,0.0002441406
266,0.0002441406
267,0.0002441406
268,0.0002441406
269,0.0002441406
270,0.0002441406
271,0.0002441406
272,0.0002441406
273,0.0002441406
274,0.0002441406
275,0.0002441406
276,0.0002441406
277,0.0002441406
278,0.0002441406
279,0.0002441406
280,0.0002441406
281,0.0002441406
282,0.0002441406
283,0.0002441406
284,0.0002441406
285,0.0002441406
286,0.0002441406
287,0.0002441406
288,0.0002441406
289,0.0002441406
290,0.0002441406
291,0.0002441406
292,0.0002441406
293,0.0002441406
294,0.0002441406
295,0.0002441406
296,0.0002441406
297,0.0002441406
298,0.0002441406
299,0.0007324219
300,0.0002441406
301,0.0002441406
302,0.0007324219
303,0.0002441406
304,0.0002441406
305,0.0007324219
306,0.0002441406
307,0.0002441406
308,0.0007324219
309,0.0002441406
310,0.0002441406
311,0.0007324219
312,0.0002441406
313,0.0002441406
314,0.0007324219
315,0.0002441406
316,0.0002441406
317,0.0007324219
318,0.0002441406
319,0.0002441406
320,0.0007324219
321,0.0002441406
322,0.0002441406
323,0.0007324219
324,0.0002441406
325,0.0002441406
326,0.0007324219
327,0.0002441406
328,0.0002441406
329,0.0007324219
330,0.0002441406
331,0.0002441406
332,0.0007324219
333,0.0002441406
334,0.0002441406
335,0.0007324219
336,0.0002441406
337,0.0002441406
338,0.0007324219
339,0.0002441406
340,0.0002441406
341,0.0007324219
342,0.0002441406
343,0.0002441406
344,0.0007324219
345,0.0002441406
346,0.0002441406
347,0.0007324219
348,0.0002441406
349,0.0002441406
350,0.0007324219
351,0.0002441406
352,0.0002441406
353,0.0007324219
354,0.0002441406
355,0.0002441406
356,0.0007324219
357,0.0002441406
358,0
359,0.0007324219
360,0.0002441406
361,0.0002441406
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0.0002441406
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0.0004882812
387,0
388,0
389,0
390,0.0002441406
391,0
392,0.0004882812
393,0
394,0
395,0
396,0
397,0.0002441406
398,0
399,0
400,0
401,0.0002441406
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0.0002441406
417,0.0002441406
418,0.0002441406
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0.0002441406
438,0
439,0.0004882812
440,0
441,0
442,0.0004882812
443,0.0002441406
444,0
445,0.0002441406
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0.0004882812
454,0.0004882812
455,0
456,0.0004882812
457,0.0007324219
458,0.0004882812
459,0
460,0
461,0
462,0
463,0.0002441406
464,0.0002441406
465,0.0002441406
466,0.0004882812
467,0
468,0
469,0
470,0
471,0.0002441406
472,0.0002441406
473,0.0002441406
474,0.0002441406
475,0.0002441406
476,0.0002441406
477,0.0002441406
478,0.0002441406
479,0.0002441406
480,0.0002441406
481,0.0002441406
482,0.0002441406
483,0.0002441406
484,0.0002441406
485,0.0002441406
486,0.0002441406
487,0.0002441406
488,0.0002441406
489,0.0002441406
490,0.0002441406
491,0.0002441406
492,0.0002441406
493,0.0002441406
494,0.0002441406
495,0.0002441406
496,0.0002441406
497,0.0002441406
498,0.0002441406
499,0.0002441406
500,0.0002441406
501,0.0002441406
502,0.0002441406
503,0.0002441406
504,0.0002441406
505,0.0002441406
506,0.0002441406
507,0.0002441406
508,0.0002441406
509,0.0002441406
510,0.0002441406
511,0.0002441406
512,0.0002441406
513,0.0002441406
514,0.0002441406
515,0.0002441406
516,0.0002441406
517,0.0002441406
518,0.0002441406
519,0.0002441406
520,0.0002441406
521,0.0002441406
522,0.0002441406
523,0.0002441406
524,0.0002441406
525,0.0002441406
526,0.0002441406
527,0.0002441406
528,0.0002441406
529,0.0002441406
530,0.0002441406
531,0.0002441406
532,0.0002441406
533,0.0002441406
534,0.0002441406
535,0.0002441406
536,0.0002441406
537,0.0002441406
538,0.0002441406
539,0.0002441406
540,0.0002441406
541,0.0002441406
542,0.0002441406
543,0.0002441406
544,0.0002441406
545,0.0002441406
546,0.0002441406
547,0.0002441406
548,0.0002441406
549,0.0002441406
550,0.0002441406
551,0.0002441406
552,0.0002441406
553,0.0002441406
554,0.0002441406
555,0.0002441406
556,0.0002441406
557,0.0002441406
558,0.0002441406
559,0.0002441406
560,0.0002441406
561,0.0002441406
562,0.0002441406
563,0.0002441406
564,0.0002441406
565,0.0002441406
566,0.0002441406
567,0.0002441406
568,0.0002441406
569,0.0002441406
570,0.0002441406
571,0.0002441406
572,0.0002441406
573,0.0002441406
574,0.0002441406
575,0.0002441406
576,0.0002441406
577,0.0002441406
578,0.0002441406
579,0.0002441406
580,0.0002441406
581,0.0002441406
582,0.0002441406
583,0.0002441406
584,0.0002441406
